Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Timestamp,Transaction Status,Fraud Flag,Geolocation (Latitude/Longitude),Device Used,Network Slice ID,Latenc[...]
TXN9520068950,ACC14994,ACC16656,495.9,Deposit,2025-01-17 10:14:00,Failed,True,"34.0522 N, -74.006 W",Desktop,Slice3,10,179,3075
TXN9412011085,ACC58958,ACC32826,529.62,Withdrawal,2025-01-17 10:51:00,Success,False,"35.6895 N, -118.2437 W",Mobile,Slice2,11,89,2369
TXN4407425052,ACC56321,ACC92481,862.47,Withdrawal,2025-01-17 10:50:00,Failed,False,"48.8566 N, 2.3522 W",Mobile,Slice1,4,53,8039
TXN2214150284,ACC48650,ACC76457,1129.88,Transfer,2025-01-17 10:56:00,Success,True,"34.0522 N, -74.006 W",Mobile,Slice3,10,127,6374
TXN4247571145,ACC60921,ACC11419,933.24,Deposit,2025-01-17 10:25:00,Success,True,"55.7558 N, 37.6173 W",Mobile,Slice3,20,191,8375
TXN2515439857,ACC18381,ACC76710,449.56,Withdrawal,2025-01-17 10:01:00,Failed,False,"35.6895 N, 139.6917 W",Desktop,Slice1,14,191,4779
TXN2169752734,ACC43792,ACC51105,72.97,Withdrawal,2025-01-17 10:25:00,Success,True,"55.7558 N, 2.3522 W",Mobile,Slice2,5,216,4347
TXN3109277527,ACC48227,ACC93536,1135.8,Deposit,2025-01-17 10:56:00,Failed,True,"48.8566 N, -118.2437 W",Mobile,Slice2,11,69,8607
TXN4541918858,ACC10284,ACC24018,1154.59,Withdrawal,2025-01-17 10:38:00,Success,False,"40.7128 N, -118.2437 W",Mobile,Slice2,6,151,1841
TXN4229370499,ACC11531,ACC53580,683.48,Transfer,2025-01-17 10:55:00,Success,True,"34.0522 N, 2.3522 W",Mobile,Slice1,19,213,4495
TXN6355066290,ACC14006,ACC27800,485.37,Transfer,2025-01-17 10:50:00,Failed,True,"34.0522 N, 37.6173 W",Mobile,Slice3,20,173,9631
TXN2166128709,ACC11156,ACC57086,1356.77,Deposit,2025-01-17 10:06:00,Failed,False,"40.7128 N, 2.3522 W",Desktop,Slice1,18,179,4525
TXN8655304785,ACC62917,ACC77317,385.43,Deposit,2025-01-17 10:58:00,Success,False,"55.7558 N, -74.006 W",Desktop,Slice3,17,181,9371
TXN5194651812,ACC39081,ACC11992,394.76,Deposit,2025-01-17 10:13:00,Failed,False,"34.0522 N, -118.2437 W",Desktop,Slice2,16,146,7035
TXN9153984217,ACC34065,ACC67993,620.34,Deposit,2025-01-17 10:37:00,Failed,False,"55.7558 N, 2.3522 W",Desktop,Slice2,7,215,4624
TXN9743166792,ACC82066,ACC33985,579.65,Transfer,2025-01-17 10:17:00,Failed,False,"51.5074 N, 0.1278 W",Mobile,Slice2,14,246,9680
TXN6682052855,ACC68764,ACC53807,1171.23,Transfer,2025-01-17 10:29:00,Success,False,"34.0522 N, -74.006 W",Mobile,Slice2,13,88,1993
TXN4351744832,ACC55704,ACC24911,817.55,Deposit,2025-01-17 10:13:00,Failed,False,"40.7128 N, 2.3522 W",Mobile,Slice2,8,82,2092
TXN5897093700,ACC70859,ACC83767,113.95,Deposit,2025-01-17 10:25:00,Success,False,"48.8566 N, -74.006 W",Mobile,Slice3,18,141,9271
TXN5863399870,ACC73740,ACC39244,906.82,Transfer,2025-01-17 10:57:00,Failed,False,"34.0522 N, 2.3522 W",Mobile,Slice2,3,205,7119
